"fiscal_year","beginning_balance","inflows","outflows","net","ending_balance","ending_balance_rounded","net_inflows_outflows_rounded"
"2021","3501181","7910","0","7910","3509091","3509.09","7.91"
"2020p","3424376","76805","0","76805","3501181","3501.18","76.80"
"2019","2001299","1507917","-84839","1423078","3424377","3424.38","1423.08"
"2018","1300678","752011","-51390","700621","2001299","2001.30","701.00"
"2017","1291514","9164","0","9164","1300678","1300.68","9.00"
"2016","1252429","39085","0","39085","1291514","1291.51","39.00"
"2015","1248435","148800","-144806","3994","1252429","1252.43","4.00"
"2014","1556657","467893","-776115","-308222","1248435","1248.44","-308.00"
"2013","1652118","569338","-664799","-95461","1556657","1556.66","-95.00"
"2012","1379071","503455","-230408","273047","1652118","1652.12","273.00"
"2011","669803","718312","-9044","709268","1379071","1379.07","709.00"
"2010","841344","35033","-206574","-171541","669803","669.80","-172.00"
"2009","2119194","111150","-1389000","-1277850","841344","841.34","-1278.00"
"2008","2335021","99173","-315000","-215827","2119194","2119.19","-216.00"
"2007","2154664","180357","0","180357","2335021","2335.02","180.00"
"2006","1728355","446309","-20000","426309","2154664","2154.66","426.00"
"2005","1137320","934306","-343271","591035","1728355","1728.36","591.00"
"2004","641325","1026876","-530881","495995","1137320","1137.32","496.00"
"2003","881771","309554","-550000","-240446","641325","641.33","-240.00"
"2002","1714990","196781","-1030000","-833219","881771","881.77","-833.00"
"2001","1608382","132538","-25930","106608","1714990","1714.99","107.00"
"2000","1388523","219859","0","219859","1608382","1608.38","220.00"
"1999","1159588","228935","0","228935","1388523","1388.52","229.00"
"1998","799300","360288","0","360288","1159588","1159.59","360.00"
"1997","543303","255997","0","255997","799300","799.30","256.00"
"1996","425405","199620","-81722","117898","543303","543.30","118.00"
"1995","382907","42498","0","42498","425405","425.41","42.00"
"1994","309512","73395","0","73395","382907","382.91","73.00"
"1993","230380","79132","0","79132","309512","309.51","79.00"
"1992","59199","171181","0","171181","230380","230.38","171.00"
"1991","0","59199","0","59199","59199","59.20","59.00"
"1990","0","0","0","0","0","0.00","0.00"
"1989","112312","7939","-120251","-112312","0","0.00","-112.00"
"1988","70330","41982","0","41982","112312","112.31","42.00"
"1987","0","70330","0","70330","70330","70.33","70.00"
