Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Sun,08/05/2018,Hamilton Park,(312) 747-6174,Black Panther,Y,PG-13,,513 W. 72nd St.,"513 W. 72nd St.
Chicago, IL
(41.763495, -87.637669)",11,66,21559,511,32
Fri,06/15/2018,Vittum Park,(773) 284-6022,Justice League,Y,PG-13,,5010 W. 50th St.,"5010 W. 50th St.
Chicago, IL
(41.802024, -87.748205)",7,53,22268,605,28
Sun,07/22/2018,Bessemer Park,(312) 747-6023,Star Wars: The Last Jedi,Y,PG-13,,8930 S. Muskegon Ave.,"8930 S. Muskegon Ave.
Chicago, IL
(41.732921, -87.555452)",25,42,21202,175,47
Thu,06/21/2018,Osterman Beach,(312) 742-1134,Donkey Skin (Peau d'ane),Y,NR,The Cultural Services at the Consulate General of France in Chicago,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Thu,06/21/2018,Altgeld Park,(312) 746-5001,Justice League,Y,PG-13,,515 S. Washtenaw Ave.,"515 S. Washtenaw Ave.
Chicago, IL
(41.874341, -87.693699)",28,28,21184,38,23
Thu,08/16/2018,West Pullman Park,(312) 747-7090,The Fate of the Furious,Y,PG-13,,401 W. 123rd St.,"401 W. 123rd St.
Chicago, IL
(41.670629, -87.6324)",19,50,21861,7,22
Fri,07/20/2018,Armour Square Park,(312) 747-6012,Cars 3,Y,G,,3309 S. Shields Ave.,"3309 S. Shields Ave.
Chicago, IL
(41.834212, -87.635226)",40,35,21194,376,48
Sun,06/17/2018,Jonquil Playlot Park,(312) 742-7816,Paddington 2,Y,PG,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Mon,07/16/2018,Osterman Beach,(312) 742-1134,9 to 5,Y,PG,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Sat,08/25/2018,Oz Park,(312) 742-7898,The Wizard of Oz,Y,G,,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Fri,06/29/2018,Kelly Park,(312) 747-6197,Jumanji: Welcome to the Jungle,Y,PG-13,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL
(41.819371, -87.693257)",56,55,22248,641,1
Sun,08/12/2018,La Villita Park,(312) 747-6608,LVEJO Film Showcase,N,NR,,2800 S. Sacramento Blvd.,"2800 S. Sacramento Blvd.
Chicago, IL",,,,,
Fri,07/06/2018,Dunham Park,(773) 685-3257,The Sandlot,Y,PG,,4638 N. Melvina Ave.,"4638 N. Melvina Ave.
Chicago, IL
(41.965863, -87.781985)",48,15,21869,95,19
Tue,08/07/2018,A. Montgomery Ward Park,(312) 742-7895,The Post,Y,PG-13,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)",55,37,4446,652,36
Fri,06/15/2018,Bell Park,(312) 746-5008,Wonder,Y,PG,,3020 N. Oak Park Ave.,"3020 N. Oak Park Ave.
Chicago, IL
(41.935253, -87.795593)",52,18,22254,397,44
Wed,08/01/2018,Merrimac Park,(773) 685-3382,Coco,Y,PG,,6343 W. Irving Park Rd.,"6343 W. Irving Park Rd.
Chicago, IL
(41.952941, -87.785768)",52,15,22254,131,19
Sun,08/26/2018,Jonquil Playlot Park,(312) 742-7816,Mary Poppins,Y,G,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Thu,07/05/2018,Wicker Park,(312) 742-7553,Ghost,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.907977, -87.677399)",4,25,21560,481,41
Tue,06/19/2018,A. Montgomery Ward Park,(312) 742-7895,Jumanji: Welcome to the Jungle,Y,PG-13,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)",55,37,4446,652,36
Fri,08/03/2018,Nat King Cole Park,(312) 747-6063,Justice League,Y,PG-13,,361 E. 85th St.,"361 E. 85th St.
Chicago, IL
(41.740144, -87.615445)",61,40,21546,406,32
Mon,07/30/2018,Chippewa Park,(773) 731-0380,Trolls,Y,PG,Debra & Ira Silverstein,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL
(42.004271, -87.70461)",12,20,22528,32,27
Sat,08/25/2018,Wolfe Playground Park,(312) 747-7005,Cars 3,Y,G,,3325 E. 108th St.,"3325 E. 108th St.
Chicago, IL
(41.699136, -87.543168)",25,49,21202,602,47
Wed,07/11/2018,"Bartelme, Mary Park",(312) 746-5962,The Princess Bride,Y,PG,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26
Sat,08/18/2018,Churchill Field Playlot Park,(312) 742-7554,Roman Holiday,Y,NR,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL
(41.914792, -87.677554)",4,23,21560,179,40
Fri,08/17/2018,Revere Park,(773) 478-1220,Spark: A Space Tail,Y,PG,,2509 W. Irving Park Rd.,"2509 W. Irving Park Rd.
Chicago, IL
(41.95398, -87.691084)",39,46,21538,110,18
Tue,08/07/2018,Cragin Park,(312) 746-5065,Selena,Y,PG,,2611 N. Lockwood Ave.,"2611 N. Lockwood Ave.
Chicago, IL
(41.9282, -87.758743)",2,19,22615,80,17
Tue,08/21/2018,McKinley Park,(312) 747-6527,A Dog's Purpose,Y,PG,,2210 W. Pershing Rd.,"2210 W. Pershing Rd.
Chicago, IL
(41.823114, -87.679668)",37,56,14924,719,1
Thu,08/23/2018,DuSable Museum of African American History,(312) 742-1134,Elevator to the Gallows (Ascenseur pour l'Echafaud),Y,NR,The Cultural Services at the Consulate General of France in Chicago,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)",60,8,22260,154,33
Sun,08/12/2018,Walsh Playground Park,(312) 742-7769,The Secret Life of Pets,Y,PG,The Wicker Park Bucktown Chamber of Commerce,1722 N. Ashland Ave.,"1722 N. Ashland Ave.
Chicago, IL
(41.912858, -87.667823)",4,25,21560,437,40
Tue,07/10/2018,Chicago History Museum,(312) 742-1134,Back to the Future,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)",16,68,21190,271,34
Tue,08/21/2018,A. Montgomery Ward Park,(312) 742-7895,Coco,Y,PG,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)",55,37,4446,652,36
Mon,07/23/2018,Harold Washington Playlot Park,(312) 747-6620,The Wiz,Y,G,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.801011, -87.584541)",10,8,21192,405,33
Wed,08/01/2018,Ridge Park,(312) 747-6640,Jumanji: Welcome to the Jungle,Y,PG-13,,1817 W. 96th Street,"1817 W. 96th Street
Chicago, IL
(41.719328, -87.668116)",13,71,22212,628,42
Fri,06/29/2018,Owens Park,(312) 747-6709,Black Panther,Y,PG-13,,8800 S. Clyde,"8800 S. Clyde
Chicago, IL
(41.734405, -87.573238)",25,44,21202,473,35
Fri,08/17/2018,Maggie Daley Park,(312) 742-3918,Coco,Y,PG,The Museum of Science and Industry,337 E. Randolph St.,"337 E. Randolph St.
Chicago, IL
(41.884351, -87.620142)",41,38,14309,580,36
Fri,08/10/2018,Galewood Park,(312) 746-5089,Jumanji: Welcome to the Jungle,Y,PG-13,,5729 W. Bloomingdale Ave.,"5729 W. Bloomingdale Ave.
Chicago, IL
(41.912565, -87.769515)",2,26,22615,597,7
Wed,08/01/2018,Harrison Park,(312) 746-5491,Looking for a Boyfriend … for My Wife / Se busca novio … para mi mujer,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL
(41.856825, -87.671063)",43,33,14920,343,26
Fri,07/06/2018,Holstein Park,(312) 742-7554,Love Songs (Les Chansons d'Amour),Y,NR,The Cultural Services at the Consulate General of France in Chicago,2200 N. Oakley Ave.,"2200 N. Oakley Ave.
Chicago, IL
(41.922402, -87.685509)",1,23,22535,324,40
Mon,08/20/2018,South Shore Cultural Center,(773) 256-0149,Wonder Woman,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37
Wed,07/18/2018,Brainerd Park,(312) 747-6027,Jumanji: Welcome to the Jungle,Y,PG-13,,1246 W. 92nd St.,"1246 W. 92nd St.
Chicago, IL
(41.726781, -87.65489)",59,72,21554,195,13
Wed,08/08/2018,Sherman Park,(312) 747-6672,Jumanji: Welcome to the Jungle,Y,PG-13,,1301 W. 52nd St.,"1301 W. 52nd St.
Chicago, IL
(41.799637, -87.657436)",37,59,14924,790,4
Sun,08/05/2018,Chippewa Park,(773) 731-0380,The Boss Baby,Y,PG,JCC Chicago,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL
(42.004271, -87.70461)",12,20,22528,32,27
Mon,07/16/2018,Skinner Park,(312) 746-5560,Cars 3,Y,G,The Museum of Science and Industry,1331 W. Monroe St.,"1331 W. Monroe St.
Chicago, IL
(41.880283, -87.659439)",44,29,14917,91,46
Mon,06/25/2018,Harold Washington Playlot Park,(312) 747-6620,A Raisin in the Sun,Y,NR,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.801011, -87.584541)",10,8,21192,405,33
Sat,06/30/2018,Oz Park,(312) 742-7898,The Perfect Game,Y,PG,The Oz Park Baseball Association,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Fri,08/03/2018,LeClaire Courts-Hearst Community Park,(312) 747-6438,Sherlock Gnomes,Y,PG,,5120 W. 44th St.,"5120 W. 44th St.
Chicago, IL
(41.812923, -87.751805)",7,53,22268,604,28
Thu,07/26/2018,Scottsdale Playground Park,(773) 284-1826,Jumanji: Welcome to the Jungle,Y,PG-13,,4637 W. 83rd St.,"4637 W. 83rd St.
Chicago, IL
(41.74203, -87.736251)",8,69,4300,235,30
Thu,06/21/2018,Archer Park,(773) 284-7029,Little Big League,Y,PG,,4901 S.Kilbourn Ave.,"4901 S.Kilbourn Ave.
Chicago, IL
(41.803471, -87.735651)",56,54,22248,697,8
Sat,07/28/2018,Humboldt Park,(312) 742-7549,Despicable Me 3,Y,PG,,1440 N. Sacramento,"1440 N. Sacramento
Chicago, IL
(41.902822, -87.701792)",4,25,21560,301,49
Fri,06/22/2018,La Villita Park,(312) 747-6608,Jumanji: Welcome to the Jungle,Y,PG-13,,2800 S. Sacramento Blvd.,"2800 S. Sacramento Blvd.
Chicago, IL",,,,,
Fri,07/13/2018,Palmer Park,(312) 747-6577,War for the Planet of the Apes,Y,PG-13,,201 E. 111th St.,"201 E. 111th St.
Chicago, IL
(41.692674, -87.616431)",19,45,21861,253,43
Thu,07/12/2018,Ping Tom Memorial Park,(312) 225-3121,The Boss Baby,Y,PG,,1700 S. Wentworth Ave.,"1700 S. Wentworth Ave.
Chicago, IL
(41.858719, -87.6319)",40,34,21194,330,26
Wed,07/18/2018,Rosenblum Park,(312) 747-6649,Jumanji: Welcome to the Jungle,Y,PG-13,,8050 S. Chapel,"8050 S. Chapel
Chicago, IL",,,,,
Fri,08/10/2018,Mayfair Park,(773) 685-3361,The Sandlot,Y,PG,,4550 W. Sunnyside Ave.,"4550 W. Sunnyside Ave.
Chicago, IL
(41.962597, -87.7422)",48,16,21869,362,38
Sat,07/07/2018,Indian Boundary Park and Cultural Center,(773) 764-0338,Looney Tunes Cartoon Pack #4,N,NR,,2500 W. Lunt Ave.,"2500 W. Lunt Ave.
Chicago, IL
(42.008606, -87.692536)",12,20,22528,42,27
Sun,07/15/2018,Jonquil Playlot Park,(312) 742-7816,Grease,Y,PG-13,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Tue,06/26/2018,Horner Park,(773) 478-3499,Wonder,Y,PG,JCC Chicago,2741 W. Montrose Ave.,"2741 W. Montrose Ave.
Chicago, IL
(41.961286, -87.697294)",20,14,21538,258,20
Tue,06/12/2018,"Bartelme, Mary Park",(312) 746-5962,The Martian,Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26
Sat,06/30/2018,Ellis Park,(312) 656-0423,Justice League,Y,PG-13,,535 E. 35th St.,"535 E. 35th St.
Chicago, IL
(41.831144, -87.613689)",36,1,21194,581,10
Mon,06/18/2018,West Lawn Park,(773) 284-2803,Wonder,Y,PG,The St. Nicholas of Tolentine School,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL
(41.774943, -87.728278)",58,63,21867,6,15
Sat,08/18/2018,DuSable Museum of African American History,(312) 742-1134,Black Panther,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)",60,8,22260,154,33
Wed,06/27/2018,White (Willye B.) Park,(773) 262-5051,Hidden Figures,Y,PG,The Forest Preserve District of Cook County,7631 N. Ashland Ave.,"7631 N. Ashland Ave.
Chicago, IL
(42.020685, -87.670605)",9,10,21853,340,5
Wed,08/22/2018,Kedvale Park,(312) 742-7543,Coco,Y,PG,,4134 W. Hirsch St.,"4134 W. Hirsch St.
Chicago, IL
(41.906237, -87.730323)",5,24,4299,286,49
Sat,08/11/2018,Jensen Park,(312) 742-7054,Jumanji: Welcome to the Jungle,Y,PG-13,,4650 N. Lawndale Ave.,"4650 N. Lawndale Ave.
Chicago, IL
(41.9657, -87.720608)",20,14,21849,119,12
Tue,06/26/2018,Lincoln Park,(312) 742-5121,Trolls,Y,PG,,500-5700 N. Lake Shore Drive,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.891466, -87.614332)",6,37,21182,534,36
Fri,09/07/2018,Ronan Park,(312) 742-7516,Ferdinand,Y,PG,Alderman Deb Mell,3000 W. Argyle St.,"3000 W. Argyle St.
Chicago, IL
(41.972114, -87.704547)",20,14,21849,749,20
Mon,07/23/2018,Calumet Park,(312) 747-6039,Ferdinand,Y,PG,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL
(41.718303, -87.531025)",25,49,21202,705,47
Sat,07/07/2018,Oz Park,(312) 742-7898,Jumanji: Welcome to the Jungle,Y,PG-13,The Lincoln Park Baseball Academy,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Mon,07/16/2018,Cotton Tail Park,(312) 747-7640,Space Jam,Y,PG,The Greater South Loop Association,44 W. 15th St.,"44 W. 15th St.
Chicago, IL
(41.861908, -87.628949)",35,34,14913,330,9
Sat,09/01/2018,Piotrowski Park,(312) 745-4801,Moana,Y,PG,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836817, -87.730787)",57,32,21569,248,28
Wed,08/15/2018,Shedd Park,(773) 762-3168,Coco,Y,PG,,3660 W. 23rd St.,"3660 W. 23rd St.
Chicago, IL
(41.849847, -87.716566)",57,32,21569,754,28
Mon,07/30/2018,Portage Park,(773) 685-7235,Finding Dory,Y,PG,The Museum of Science and Industry,4100 N. Long Ave.,"4100 N. Long Ave.
Chicago, IL
(41.955113, -87.762131)",21,15,22618,260,19
Sat,07/28/2018,Dawes Park,(312) 747-6108,Jumanji: Welcome to the Jungle,Y,PG-13,,8052 S. Damen Ave.,"8052 S. Damen Ave.
Chicago, IL
(41.747193, -87.673082)",59,70,21554,574,30
Mon,07/30/2018,Oakwood Beach,(312) 742-1134,James and the Giant Peach,Y,PG,,3900 S. Lake Shore Dr.,"3900 S. Lake Shore Dr.
Chicago, IL",,,,,
Mon,08/20/2018,Rowan Park,(773) 646-3180,Moana,Y,PG,The Forest Preserve District of Cook County,11546 S. Avenue L,"11546 S. Avenue L
Chicago, IL
(41.685148, -87.53645)",25,49,21202,603,47
Tue,06/26/2018,Lake Shore Park,(312) 742-7891,Bread and Tulips (Pane e Tulipani),Y,PG-13,The Italian Cultural Institute,808 N. Lake Shore Dr.,"808 N. Lake Shore Dr.
Chicago, IL
(41.897388, -87.617422)",6,37,21182,233,11
Sun,06/17/2018,Churchill Field Playlot Park,(312) 742-7554,Jumanji: Welcome to the Jungle,Y,PG-13,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL
(41.914792, -87.677554)",4,23,21560,179,40
Wed,06/27/2018,Piotrowski Park,(312) 745-4801,Help Me Make it Through the Night / Ayudame a pasar la noche,Y,NR,The International Latino Cultural Center,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836817, -87.730787)",57,32,21569,248,28
Mon,08/13/2018,South Shore Cultural Center,(773) 256-0149,"Roman J. Israel, Esq.",Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37
Mon,07/23/2018,River Park,(312) 742-7516,Sing,Y,PG,,5100 N. Francisco Ave.,"5100 N. Francisco Ave.
Chicago, IL
(41.973861, -87.701292)",20,6,21849,620,24
Sat,06/16/2018,Pulaski Park,(312) 742-7559,Guardians of the Galaxy Vol. 2,Y,PG-13,,1419 W. Blackhawk St.,"1419 W. Blackhawk St.
Chicago, IL
(41.907049, -87.663404)",49,25,22620,483,11
Mon,08/27/2018,South Shore Cultural Center,(773) 256-0149,Jumanji: Welcome to the Jungle,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37
Thu,08/09/2018,Skinner Park,(312) 746-5560,Black Panther,Y,PG-13,,1331 W. Monroe St.,"1331 W. Monroe St.
Chicago, IL
(41.880283, -87.659439)",44,29,14917,91,46
Wed,08/08/2018,Loyola Park,(773) 262-8605,Southern Winds / Vientos del Sur,Y,NR,The International Latino Cultural Center,1230 W. Greenleaf Ave.,"1230 W. Greenleaf Ave.
Chicago, IL
(42.010439, -87.661605)",9,10,21853,267,5
Wed,08/08/2018,Simons Park,(312) 742-7548,Coco,Y,PG,,1640 N. Drake Ave.,"1640 N. Drake Ave.
Chicago, IL
(41.911382, -87.714974)",1,24,22535,352,49
Sat,08/04/2018,Oz Park,(312) 742-7898,Wonder Woman,Y,PG-13,The Oz Park Advisory Council,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Fri,06/22/2018,Hermitage Park,(312) 747-6179,Beauty and the Beast,Y,PG,,5839 S. Wood St.,"5839 S. Wood St.
Chicago, IL
(41.787188, -87.669237)",23,65,22257,385,3
Tue,08/07/2018,West Lawn Park,(773) 284-2803,Despicable Me 3,Y,PG,,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL
(41.774943, -87.728278)",58,63,21867,6,15
Mon,08/13/2018,Belmont Harbor,(312) 742-1134,Bringing Up Baby,N,NR,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL
(41.940216, -87.63955)",22,57,4449,535,25
Tue,06/19/2018,Gill Park,(312) 742-7802,The Sandlot,Y,PG,JCC Chicago,825 W. Sheridan Rd.,"825 W. Sheridan Rd.
Chicago, IL
(41.952738, -87.650669)",53,57,21186,83,39
Thu,06/14/2018,McKiernan Playground Park,(312) 747-2883,Ghostbusters (1984),Y,PG-13,,10714 S. Sawyer Ave.,"10714 S. Sawyer Ave.
Chicago, IL
(41.698418, -87.702276)",33,73,4447,369,42
Sun,07/15/2018,Piotrowski Park,(312) 745-4801,Footloose,Y,PG,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836817, -87.730787)",57,32,21569,248,28
Sat,06/23/2018,Osterman Beach,(312) 742-1134,West Side Story,Y,NR,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Thu,08/23/2018,Fosco Park,(312) 746-5086,Hidden Figures,Y,PG,,1312 S. Racine Ave,"1312 S. Racine Ave
Chicago, IL
(41.864757, -87.65661)",43,29,14920,760,26
Wed,06/20/2018,Harrison Park,(312) 746-5491,Broche de Oro: Beginnings / Broche de Oro: Comienzos,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL
(41.856825, -87.671063)",43,33,14920,343,26
Sun,08/26/2018,Hoyne Playground Park,(312) 747-6184,Brave,Y,PG,The Museum of Science and Industry,3417 S. Hamiltion Ave.,"3417 S. Hamiltion Ave.
Chicago, IL
(41.831627, -87.678962)",43,56,14920,2,1
Wed,07/18/2018,Gage Park,(312) 747-6147,Home Team (Mi Mundial),Y,NR,The International Latino Cultural Center,2411 W. 55th St.,"2411 W. 55th St.
Chicago, IL
(41.7939, -87.684688)",56,61,14924,778,3
Thu,08/23/2018,Wilson (Frank J.) Park,(773) 685-6454,A Dog's Purpose,Y,PG,,4630 N. Milwaukee Ave.,"4630 N. Milwaukee Ave.
Chicago, IL
(41.964711, -87.757983)",48,15,21869,259,50
Sat,06/16/2018,DuSable Museum of African American History,(312) 742-1134,Marshall,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)",60,8,22260,154,33
Sat,07/21/2018,Peterson Park,(312) 742-7584,Jumanji: Welcome to the Jungle,Y,PG-13,,5801 N. Pulaski Rd.,"5801 N. Pulaski Rd.
Chicago, IL
(41.986333, -87.728537)",18,13,22532,748,38
Wed,06/20/2018,Chicago History Museum,(312) 742-1134,The Goonies,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)",16,68,21190,271,34
Mon,07/09/2018,Calumet Park,(312) 747-6039,Babe,Y,G,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL
(41.718303, -87.531025)",25,49,21202,705,47
Tue,07/10/2018,Webster Park,(312) 745-1479,An American Tail,Y,G,The Greater South Loop Association,1357 S. Indiana Ave.,"1357 S. Indiana Ave.
Chicago, IL
(41.864392, -87.622376)",35,34,14913,374,9
Thu,06/14/2018,Wicker Park,(312) 742-7553,The Color Purple,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.907977, -87.677399)",4,25,21560,481,41
Wed,06/20/2018,Grant Park: Logan Monument,(312) 742-1134,Thor: Ragnarok,Y,PG-13,The Greater South Loop Association,900 S. Michigan Ave.,"900 S. Michigan Ave.
Chicago, IL
(41.8706, -87.624217)",35,38,14913,368,10
Tue,08/14/2018,Kells Playground Park,(312) 742-7544,Moana,Y,PG,The Bickerdike Redevelopment Corp.,3201 W. Chicago Ave.,"3201 W. Chicago Ave.
Chicago, IL
(41.895563, -87.706576)",5,24,4299,150,46
Thu,07/19/2018,Senka Park,(312) 747-4386,Despicable Me 3,Y,PG,,5656 S. St. Louis Ave.,"5656 S. St. Louis Ave.
Chicago, IL
(41.790475, -87.710771)",58,61,21867,801,8
Sat,08/18/2018,Sauganash Park,(773) 685-6122,Sing,Y,PG,The Edgebrook Sauganash Athletic Association,5861 N. Kostner Ave.,"5861 N. Kostner Ave.
Chicago, IL
(41.987404, -87.738313)",18,12,22532,713,38
Mon,08/27/2018,Grant Park: Grove 5,(312) 742-1134,Jurassic Park,Y,PG-13,,800 S. Columbus Dr.,"800 S. Columbus Dr.
Chicago, IL
(41.872058, -87.620555)",35,38,14913,368,10
