"the_geom","addr","boro","category","genborough","generating","lat","lon","oer_projec","oer_proj_1","recborough","receiving_","status","uid","volume_cy","weight_ton"
,"GreenThumb HQ","Queens","Receiving","Queens","97-11 Sutphin Blvd",,,"17TMP0431Q",,,,"Completed","19CCSB113","90","135"
"POINT (-73.926391 40.691478)","1003 Greene Ave","Brooklyn","Receiving","Brooklyn","63 North 6th Street","40.691478","-73.926391","15CVCP028K","15EHAN368K (and BCP)",,,"Completed","16CCSB048","220","330"
"POINT (-73.979744 40.698401000000004)","Admiral's Row","Brooklyn","Receiving","Queens","38-01 Queen Boulevard","40.698401","-73.979744",,"DEP",,,"Completed","17CCSB092","1000","1,500"
"POINT (-73.834251 40.759885)","2 Fulton Square","Queens","Generating",,,"40.759885","-73.834251",,"OEM","Manhattan","Wards Island","Completed","16CCSB066","500","750"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q",,"Brooklyn","2175 Bergen Street","Completed","20CCSB150","460","690"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A-BCP","Brooklyn","215 North 10th Street","Completed","20CCSB143","1300","1,950"
"POINT (-74.020936 40.657099)","Bush Terminal Pond","Brooklyn","Receiving","Queens","52-01 Queens Blvd","40.657099","-74.020936","12CVCP066Q","Parks",,,"Completed","13CCSB001","2040","3060"
"POINT (-73.933709 40.700345)","Rheingold block 3152","Brooklyn","Generating",,,"40.700345","-73.933709","15CVCP072K","13CVCP149K","Brooklyn","1875 Atlantic","Completed","16CCSB060","500","750"
"POINT (-73.896939 40.649136)","Ponderosa","Brooklyn","Receiving","Queens","97-11 Sutphin Blvd","40.649136","-73.896939","17TMP0431Q",,,,"Completed","19CCSB113","120","180"
"POINT (-73.784764 40.712026)","178-02 Hillside Avenue","Queens","Generating",,,"40.712026","-73.784764","15CVCP038Q","12EHAZ363K","Brooklyn","500 Metropolitan Avenue","Completed","17CCSB077","4000","6,000"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A","Bronx","560 Brook Ave","Completed","20CCSB135","400","600"
"POINT (-73.990038 40.722995)","139 E Houston Street","New York","Generating",,,"40.722995","-73.990038",,,,"Spring Creek Park","Complete","20CCSB167","640","960"
"POINT (-73.96465700000002 40.719526)","1 North 4th Street","Brooklyn","Receiving","Brooklyn","City Point (1 Dekab Avenue)","40.719526","-73.964657","12EH-N207K","12EH-N096K",,,"Completed","13CCSB003","2875","4312.5"
"POINT (-74.18725900000001 40.58285)","FKL","Staten island","Receiving","Queens","31-07 38th Avenue","40.58285","-74.187259","15EHAN396Q","Sanitation",,,"Completed","17CCSB081","100","150"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","16TMP0049M","Brooklyn","415 Marcy Avenue","Completed","20CCSB149","220","330"
"POINT (-73.952102 40.630514)","Brooklyn College Campus","Brooklyn","Receiving","New York","139 E Houston Street","40.630514","-73.952102",,,,,"Comlete","20CCSB166","20","30"
"POINT (-73.805708 40.696665)","97-18 Sutphin Blvd","Queens","Generating",,,"40.696665","-73.805708","19TMP0336Q",,"Bronx","903 Harding Park, Bronx NY 10473","Completed","19CCSB127","100","150"
"POINT (-74.18725900000001 40.58285)","Fresh Kills","Staten Island","Receiving","Manhattan","5 West 125th Street","40.58285","-74.187259","11EHAN269M","DSNY",,,"Completed","13CCSB005","2,340","3510"
"POINT (-73.913022 40.683995)","1676 Broadway","Brooklyn","Generating",,,"40.683995","-73.913022","15CVCP148K","15CVCP120K","Brooklyn","8 Rockaway Ave","completed","16CCSB042","2000","3000"
"POINT (-73.99312000000002 40.623069)","Empire Electric","Brooklyn","Receiving","Brooklyn","886 Dahill","40.623069","-73.99312","17CVCP060K","DEC",,,"Completed","17CCSB094","4000","6,000"
"POINT (-73.977901 40.626239)","886 Dahill","Brooklyn","Generating",,,"40.626239","-73.977901","17CVCP060K","BCP C22419","Manhattan","11 West Street","Completed","17CCSB100","5,000","7,500"
,"Nehemiah 10","Brooklyn","Receiving","Queens","97-11 Sutphin Blvd",,,"17TMP0431Q",,,,"Completed","19CCSB113","150","225"
"POINT (-73.791666 40.705591000000005)","92-23 168th Street","Queens","Generating",,,"40.705591","-73.791666","17CVCP070Q","C224140","Brooklyn","5200 Kings Highway","Completed","19CCSB120","2,400","3,600"
,"102-14 Liberty Avenue","Queens","Generating",,,,,"14CVCP234Q","Parks/DEP","Queens","Flushing Meadows Corona Park","Completed","15CCSB033","990","1485"
"POINT (-74.183669 40.611356)","Staten Island Marine Development (SIMD)","Staten Island","Receiving","Brooklyn","BAM South - 113 Flatbush Avenue","40.611356","-74.183669","14CVCP210K","NA",,,"Completed","14CCSB020","55450","83175"
"POINT (-73.867519 40.815177)","391 Bronx Ave (Sound View Senior Housing)","Bronx","Receiving","Brooklyn","670 Pacific Street","40.815177","-73.867519","14CVCP217K","HPD",,,"Completed","15CCSB029","1500","2250"
"POINT (-73.978499 40.686202)","BAM South - 113 Flatbush Avenue","Brooklyn","Generating",,,"40.686202","-73.978499","14CVCP210K","NA","Staten Island","Staten Island Marine Development (SIMD)","Completed","14CCSB020","55450","83175"
,"GreenThumb Compound","Queens","Receiving","Queens","30-77 Vernon Boulevard",,,"n/a",,,,"Completed","20CCSB154","100","150"
"POINT (-73.916382 40.825761)","316 East 162nd Street","Bronx","Generating",,,"40.825761","-73.916382","14EHAN299X and HPD","HPD","Bronx","1351 Boston Road","Completed","15CCSB040","110","165"
"POINT (-73.861185 40.876007)","801 Gunhill Road","Bronx","Generating",,,"40.876007","-73.861185","12CVCP065X","DSNY","Staten Island","#VALUE!","Completed","13CCSB007","2775","4162.5"
"POINT (-73.927756 40.636232)","5200 Kings Highway","Brooklyn","Receiving","Queens","92-23 168th Street","40.636232","-73.927756","17CVCP070Q","C224140",,,"Completed","19CCSB120","2,400","3,600"
"POINT (-73.995873 40.724834)","300 Lafayette","Manhattan","Generating",,,"40.724834","-73.995873","14EHAZ344M","BCP","Queens","Former Cascade Laundry Facility","Completed","17CCSB074","500","750"
"POINT (-73.860538 40.888319)","3993 White Plains Road Bronx, NY","Bronx","Receiving","Queens","38-01 Queens Blvd","40.888319","-73.860538","C241178","14CVCP209X",,,"Completed","17CCSB084","5000","7,500"
"POINT (-73.983559 40.696485)","67 Duffield Street","Brooklyn","Receiving","Manhattan","122 East 32nd Street","40.696485","-73.983559","13CVCP134M","18CVCP063K",,,"Completed","19CCSB126","20","30"
"POINT (-73.947295 40.714035)","650 Metropolitan Avenue","Brooklyn","Generating",,,"40.714035","-73.947295","13CVCP071K","BCP C22419","Manhattan","11 West Street","Completed","17CCSB102","800","1,200"
"POINT (-73.865182 40.664872)","967 Autumn Ave, Brooklyn, NY 11208","Brooklyn","Receiving","Queens","92-23 168th Street","40.664872","-73.865182","17CVCP070Q",,,,"Completed","19CCSB122","240","360"
"POINT (-74.016586 40.689512)","Governors Island","Manhattan","Receiving","Queens","140-15 Queens Blvd","40.689512","-74.016586","14CVCP161Q","Governors Island Trust",,,"Completed","14CCSB016","490","735"
"POINT (-73.986439 40.678127)","503 Presidents Street","Brooklyn","Receiving","Brooklyn","501 Leonard Street","40.678127","-73.986439","13EHAZ318K","Greenthumb",,,"Completed","15CCSB037","108","162"
"POINT (-73.790574 40.711183)","87-67 171st Street Jamaica","Queens","Generating",,,"40.711183","-73.790574","14EH-N389Q","15RHAZ013K","Brooklyn","308 North 7th Street","Completed","16CCSB062","500","750"
"POINT (-74.015837 40.7056)","11 West Street","Manhattan","Receiving","Brooklyn","886 Dahill","40.7056","-74.015837","17CVCP060K","BCP C22419",,,"Completed","17CCSB100","5,000","7,500"
"POINT (-73.9079 40.82882)","1114 Washington Ave","Bronx","Generating",,,"40.82882","-73.9079","19TMP1591X",,"Bronx","3405 Third Avenue","Completed","20CCSB141","TBD",
"POINT (-73.912096 40.683522)","8 Rockaway Ave","Brooklyn","Receiving","Brooklyn","1676 Broadway","40.683522","-73.912096","15CVCP148K","15CVCP120K",,,"completed","16CCSB042","2000","3000"
"POINT (-74.183669 40.611356)","SIMD","Staten Island","Receiving","Brooklyn","Rheingold Block 3141","40.611356","-74.183669",,,,,"Completed","16CCSB055","30,000","45000"
,"NYC Parks - Split Rock Maintenance Yard","Bronx","Receiving","New Rochelle","New Rochelle - 24 Maple Ave",,,"N/a","N/A",,,"Complete","20CCSB159","5,335","8,003"
"POINT (-73.978499 40.686202)","BAM South - 113 Flatbush Avenue","Brooklyn","Generating",,,"40.686202","-73.978499","14CVCP210K","13EHAZ249K","Brooklyn","47 Bridge Street","Completed","14CCSB022","1500","2250"
"POINT (-73.913407 40.815441)","560 Brook Ave","Bronx","Receiving","Queens","98-04 Queens Boulevard","40.815441","-73.913407","19TMP1900Q","N/A",,,"Completed","20CCSB135","400","600"
"POINT (-73.85166900000002 40.747155)","NYSCI","Queens","Receiving","Queens","143-18 Liberty Avenue","40.747155","-73.851669","17CVCP006Q",,,,"Completed","18CCSB107","60","90"
"POINT (-73.805116 40.697029)","97-11 Sutphin Blvd","Queens","Generating",,,"40.697029","-73.805116","17TMP0431Q",,"Manhattan","Stuy Cove Park","Completed","19CCSB115","60","90"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","19TMP0038X","Bronx","4387 Third Avenue","Completed","20CCSB132","500","750"
"POINT (-73.933835 40.769639)","30-77 Vernon Boulevard","Queens","Generating",,,"40.769639","-73.933835","n/a","N/A","Brooklyn","87-105 River Street","Completed","20CCSB152","5,000","7,500"
"POINT (-73.834251 40.759885)","2 Fulton Square","Queens","Generating",,,"40.759885","-73.834251","16CVCP042Q",,"Brooklyn","ExxonMobil Greenpoint","Completed","16CCSB069","9000","13,500"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A","Queens","NYCHA Pomonok - 67-09 Kissena Blvd.","Completed","20CCSB145","20","30"
"POINT (-73.931422 40.753752)","31-07 38th Avenue","Queens","Generating",,,"40.753752","-73.931422","15EHAN396Q","Sanitation","Staten island","FKL","Completed","17CCSB081","100","150"
"POINT (-74.015837 40.7056)","11  West Street","Manhattan","Receiving","Brooklyn","Rheingold block 3152","40.7056","-74.015837","15CVCP072K","State BCP",,,"Completed","16CCSB058","700","1,050"
,"Forest Houses","Queens","Receiving","Brooklyn","633 Marcy Avenue",,,"17CVCP060K","nycha",,,"Completed","17CCSB096","150","225"
"POINT (-73.940725 40.752491)","41-11 & 41-15 23rd Street","Queens","Generating",,,"40.752491","-73.940725","14CVCP175Q","DSNY","Staten Island","Fresh Kills Landfill","Completed","16CCSB044","1380","2070"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A","Brooklyn","127 Dikeman Street","Completed","20CCSB137","20","30"
"POINT (-73.938868 40.712671)","885 Grand","Brooklyn","Receiving","Queens","39-32 28th Street","40.712671","-73.938868",,,,,"Completed","17CCSB089","500","750"
"POINT (-73.923133 40.677414)","1875 Atlantic","Brooklyn","Receiving","Brooklyn","Rheingold block 3152","40.677414","-73.923133","15CVCP072K","13CVCP149K",,,"Completed","16CCSB060","500","750"
"POINT (-73.936183 40.753282)","39-32 28th Street","Queens","Generating",,,"40.753282","-73.936183",,,"Brooklyn","885 Grand","Completed","17CCSB089","500","750"
"POINT (-73.952555 40.713604)","500 Metropolitan Avenue","Brooklyn","Receiving","Queens","264-12 Hillside Avenue","40.713604","-73.952555","16CVCP063Q","12EHAZ363K",,,"Completed","17CCSB078","700","1,050"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A","Manhattan","Sherman Creek Park","Completed","20CCSB147","40","60"
"POINT (-73.912476 40.74288)","52-01 Queens Blvd","Queens","Generating",,,"40.74288","-73.912476","12CVCP066Q","Parks","Brooklyn","Bush Terminal Pond","Completed","13CCSB001","2040","3060"
"POINT (-73.752181 40.604107)","Rockaway youth task force","Queens","Receiving","Queens","108-20 Rockaway Beach Boulevard","40.604107","-73.752181","17CVCP039Q",,,,"Completed","N/A","80","120"
"POINT (-74.18725900000001 40.58285)","Fresh Kills Landfill","Staten Island","Receiving","Queens","34-22 35th St","40.58285","-74.187259","15CVCP109Q","DSNY",,,"Completed","16CCSB052","7000","10500"
"POINT (-74.002018 40.65608)","875 4th Avenue","Brooklyn","Generating",,,"40.65608","-74.002018","16EH-A242K","18EH-N164K","Brooklyn","67 Duffield Street","Completed","19CCSB128","860","1,290"
"POINT (-73.873021 40.81706100000001)","Soundview Park","Bronx","Receiving","Queens","98-04 Queens Boulevard","40.817061","-73.873021","19TMP1900Q","N/A",,,"Completed","20CCSB143","60","90"
"POINT (-74.206687 40.542095)","1243-1275 Woodrow Road","Staten Island","Generating",,,"40.542095","-74.206687","12CVCP063R","DSNY","Staten Island","Fresh Kills","Completed","13CCSB004","16140","24210"
"POINT (-73.908064 40.673937)","2175 Bergen Street","Brooklyn","Receiving","Queens","98-04 Queens Boulevard","40.673937","-73.908064","19TMP1900Q",,,,"Completed","20CCSB150","460","690"
"POINT (-74.18725900000001 40.58285)","Fresh Kills Landfill","Staten Island","Receiving","Queens","41-11 & 41-15 23rd Street","40.58285","-74.187259","14CVCP175Q","DSNY",,,"Completed","16CCSB044","1380","2070"
"POINT (-73.703921 40.73799600000001)","264-12 Hillside Avenue","Queens","Generating",,,"40.737996","-73.703921","16CVCP063Q","12EHAZ363K","Brooklyn","500 Metropolitan Avenue","Completed","17CCSB078","700","1,050"
"POINT (-73.849258 40.650841)","Spring Creek Park",,"Receiving","New York","139 E Houston Street","40.650841","-73.849258",,,,,"Complete","20CCSB167","640","960"
"POINT (-73.933709 40.700345)","Rheingold block 3152","Brooklyn","Generating",,,"40.700345","-73.933709","15CVCP072K","State BCP","Manhattan","11  West Street","Completed","16CCSB058","700","1,050"
"POINT (-73.857818 40.80713)","903 Harding Park, Bronx NY 10473","Bronx","Receiving","Queens","97-18 Sutphin Blvd","40.80713","-73.857818","19TMP0336Q",,,,"Completed","19CCSB127","100","150"
"POINT (-74.014266 40.676986)","127 Dikeman Street","Brooklyn","Receiving","Queens","98-04 Queens Boulevard","40.676986","-74.014266","19TMP1900Q","N/A",,,"Completed","20CCSB137","20","30"
"POINT (-73.921284 40.793212)","Wards Island","Manhattan","Receiving","Queens","87-67 171st Street, Jamaica","40.793212","-73.921284","14EH-N389Q","OEM",,,"Completed","16CCSB067","100","150"
,"New Rochelle - 24 Maple Ave","New Rochelle","Generating",,,,,"N/a","N/A","Bronx","NYC Parks - Split Rock Maintenance Yard","Complete","20CCSB159","5,335","8,003"
"POINT (-73.984372 40.70318)","47 Bridge Street","Brooklyn","Receiving","Brooklyn","BAM South - 113 Flatbush Avenue","40.70318","-73.984372","14CVCP210K","13EHAZ249K",,,"Completed","14CCSB022","1500","2250"
"POINT (-74.18725900000001 40.58285)","Fresh Kills","Staten Island","Receiving","Manhattan","42 Crosby Street","40.58285","-74.187259","15CVCP011M","DSNY",,,"Completed","15CCSB031","420","630"
"POINT (-73.964196 40.717695)","187 Kent","Brooklyn","Receiving","Queens","143-18 Liberty Avenue","40.717695","-73.964196","17CVCP006Q",,,,"Completed","17CCSB104","800","1,200"
"POINT (-74.18725900000001 40.58285)","Fresh Kills Landfill","Staten Island","Receiving","Queens","30-17 40th Avenue (LIC taxi site)","40.58285","-74.187259","15EHAN037Q","DSNY",,,"Completed","16CCSB050","2952","4428"
"POINT (-74.000461 40.658581)","826 4th Ave","Brooklyn","Receiving","Queens","50-11 Queens Blvd","40.658581","-74.000461","18CVCP077Q",,,,"Completed","19CCSB124","360","540"
"POINT (-73.990038 40.722995)","139 E Houston Street","New York","Generating",,,"40.722995","-73.990038",,,"Brooklyn","Brooklyn College Campus","Comlete","20CCSB166","20","30"
"POINT (-73.814704 40.703704)","140-15 Queens Blvd","Queens","Generating",,,"40.703704","-73.814704","14CVCP161Q","Governors Island Trust","Manhattan","Governors Island","Completed","14CCSB016","490","735"
"POINT (-73.926653 40.744442)","38-01 Queen Boulevard","Queens","Generating",,,"40.744442","-73.926653",,,"Brooklyn","98 Degraw","Completed","17CCSB091","500","750"
"POINT (-73.80888 40.69224)","143-18 Liberty Avenue","Queens","Generating",,,"40.69224","-73.80888","17CVCP006Q",,"Queens","NYSCI","Completed","18CCSB107","60","90"
"POINT (-73.910904 40.825907)","445 East 163rd Street (Washington Plaza)","Bronx","Receiving","Brooklyn","670 Pacific Street","40.825907","-73.910904","14CVCP217K","10EHAZ232X and HPD",,,"Completed","15CCSB025","4375","6562.5"
"POINT (-73.953351 40.714828)","308 North 7th Street","Brooklyn","Receiving","Queens","87-67 171st Street Jamaica","40.714828","-73.953351","14EH-N389Q","15RHAZ013K",,,"Completed","16CCSB062","500","750"
"POINT (-73.90742800000001 40.828567)","3405 Third Avenue","Bronx","Receiving","Bronx","1114 Washington Ave","40.828567","-73.907428","19TMP1591X",,,,"Completed","20CCSB141","TBD",
"POINT (-73.966372 40.717882)","87-105 River Street","Brooklyn","Receiving","Queens","30-77 Vernon Boulevard","40.717882","-73.966372","n/a","N/A",,,"Completed","20CCSB152","5,000","7,500"
"POINT (-73.981335 40.745152)","122 East 32nd Street","Manhattan","Generating",,,"40.745152","-73.981335","13CVCP134M","18CVCP063K","Brooklyn","67 Duffield Street","Completed","19CCSB126","20","30"
"POINT (-73.95893 40.72941)","50 Greenpoint ave","Brooklyn","Receiving","Brooklyn","63 North 6th Street","40.72941","-73.95893","15CVCP028K","13CVCP155K",,,"Completed","16CCSB046","340","510"
