"development","street_address","postcode","borough","bldg_number","tds_number","bin_number","no_of_floors","roof_space_sq_ft","estimated_roof_solar_capacity_kw","adjusted_value_kw","roof_condition_rating","no_of_residential_units","no_of_total_units","senior_development_yes_no","latitude","longitude","community_board","council_district","census_tract","bbl","nta","location_1"
"MOTT HAVEN","388 EAST 141ST STREET","10454","BRONX","1","121","2000644","20","5044.15","30.57","30.57","5","117","117","No","40.811292","-73.922115","1","8","39","2023030021","Mott Haven-Port Morris                                                     ","(40.811292, -73.922115)"
"MOTT HAVEN","355 EAST 143RD STREET","10454","BRONX","7","121","2091103","20","5161.88","32.31","32.31","5","117","117","No","40.812911","-73.922127","1","8","41","2023060009","Mott Haven-Port Morris                                                     ","(40.812911, -73.922127)"
"MOTT HAVEN","375 EAST 143RD STREET","10454","BRONX","9","121","2091101","2","9000.59","2.87","2.87","5","0","0","Non-residential","40.812702","-73.921622","1","8","41","2023060009","Mott Haven-Port Morris                                                     ","(40.812702, -73.921622)"
"MOTT HAVEN","380 EAST 143RD STREET","10454","BRONX","6","121","2091099","20","9630.40","34.5","34.5","Replaced 11/16","130","130","No","40.812573","-73.921358","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.812573, -73.921358)"
"MOTT HAVEN","370 EAST 141ST STREET","10454","BRONX","0","121","2109610","1","566.65","0","0","N/A (playground)","0","0","Non-residential","40.81147","-73.922537","1","8","39","2023030021","Mott Haven-Port Morris                                                     ","(40.81147, -73.922537)"
"MOTT HAVEN","350 EAST 143RD STREET","10454","BRONX","5","121","2091099","20","9594.21","34.37","34.37","Replaced 11/16","130","130","No","40.812897","-73.922138","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.812897, -73.922138)"
"MOTT HAVEN","383 EAST 143RD STREET","10454","BRONX","8","121","2091102","20","5156.91","31.32","31.32","4.8","117","117","No","40.812581","-73.921329","1","8","41","2023060009","Mott Haven-Port Morris                                                     ","(40.812581, -73.921329)"
"MOTT HAVEN","383 EAST 141ST STREET","10454","BRONX","2","121","2091100","20","9595.33","33.94","33.94","3.8","130","130","No","40.8113","-73.92209","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.8113, -73.92209)"
"MOTT HAVEN","353 EAST 141ST STREET","10454","BRONX","3","121","2091100","20","10229.50","36.18","36.18","3.8","130","130","No","40.811517","-73.922606","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.811517, -73.922606)"
"MOTT HAVEN","340 ALEXANDER AVENUE","10454","BRONX","4","121","2091098","22","11985.93","32.44","32.44","3.9","121","122","No","40.812552","-73.923295","1","8","41","2023040001","Mott Haven-Port Morris                                                     ","(40.812552, -73.923295)"
"NEW LANE AREA","70 NEW LANE","10305","STATEN ISLAND","1","314","5042254","10","28664.41","184.53","129.17","Replaced 12/15","276","277","Yes","40.612811","-74.062256","1","49","6","5028320068","Stapleton-Rosebank                                                         ","(40.612811, -74.062256)"
"OCEAN HILL APARTMENTS","386GAR SUMPTER STREET","11233","BROOKLYN","4","162","3379499",,"659.13","0","0","3",,"0","Non-residential","40.68123","-73.909114","16","37","369","3015280033","Ocean Hill                                                                 ","(40.68123, -73.909114)"
"OCEAN HILL APARTMENTS","15 MOTHER GASTON BOULEVARD","11233","BROOKLYN","2","162","3324697","14","5429.34","35.81","35.81","3.8","81","81","No","40.681181","-73.908685","16","37","369","3015290001","Ocean Hill                                                                 ","(40.681181, -73.908685)"
"OCEAN HILL APARTMENTS","309 MACDOUGAL STREET","11233","BROOKLYN","3","162","3324696","14","5215.17","26.57","26.57","4.6","79","79","No","40.680596","-73.908289","16","37","369","3015290001","Ocean Hill                                                                 ","(40.680596, -73.908289)"
"OCEAN HILL APARTMENTS","24 MOTHER GASTON BOULEVARD","11233","BROOKLYN","1","162","3041566","14","5232.17","33.44","33.44","4.7","78","78","No","40.681271","-73.908725","16","37","369","3015280033","Ocean Hill                                                                 ","(40.681271, -73.908725)"
"PARKSIDE","649 ARNOW AVENUE","10467","BRONX","7","47","2101748","7","7312.84","32.44","32.44","Replaced 6/17","56","56","No","40.867933","-73.869062","11","15","336","2045420100","Bronxdale                                                                  ","(40.867933, -73.869062)"
"PARKSIDE","660 ARNOW AVENUE","10467","BRONX","5","47","2093464","14","6215.76","42.42","29.69","Replaced 6/17","112","112","No","40.867916","-73.869015","11","15","336","2045070048","Bronxdale                                                                  ","(40.867916, -73.869015)"
"PARKSIDE","2959 WHITE PLAINS ROAD","10467","BRONX","11","47","2101735","7","7361.85","36.06","36.06","Replaced 6/17","56","56","No","40.869298","-73.867245","11","15","336","2045420100","Bronxdale                                                                  ","(40.869298, -73.867245)"
"PARKSIDE","2910 BRONX PARK EAST","10467","BRONX","1","47","2101744","6","6389.74","41.42","29","Replaced 6/17","48","48","No","40.868209","-73.87049","11","15","336","2045420100","Bronxdale                                                                  ","(40.868209, -73.87049)"
"PARKSIDE","665 ARNOW AVENUE","10467","BRONX","6","47","2101750","7","7278.28","35.43","35.43","Replaced 6/17","56","56","No","40.86793","-73.86894","11","15","336","2045420100","Bronxdale                                                                  ","(40.86793, -73.86894)"
"PARKSIDE","680 ADEE AVENUE","10467","BRONX","10","47","2101738","7","7367.89","33.69","33.69","Replaced 6/17","56","56","No","40.86968","-73.867812","11","15","336","2045420100","Bronxdale                                                                  ","(40.86968, -73.867812)"
"PARKSIDE","2825 OLINVILLE AVENUE","10467","BRONX","14","47","2093465","7","6335.63","40.8","28.56","Replaced 6/17","56","56","No","40.86721","-73.868319","11","15","336","2045070048","Bronxdale                                                                  ","(40.86721, -73.868319)"
"PARKSIDE","2970 BRONX PARK EAST","10467","BRONX","2","47","2101746","6","6199.18","39.05","39.05","Replaced 6/17","48","48","No","40.86934","-73.870517","11","15","336","2045420100","Bronxdale                                                                  ","(40.86934, -73.870517)"
"PARKSIDE","640 ADEE AVENUE","10467","BRONX","3","47","2101743","15","6292.71","42.54","29.78","Replaced 6/17","114","115","No","40.869669","-73.869876","11","15","336","2045420100","Bronxdale                                                                  ","(40.869669, -73.869876)"
"PARKSIDE","666 ADEE AVENUE","10467","BRONX","9","47","2101740","7","7320.45","34.93","34.93","Replaced 6/17","56","56","No","40.869673","-73.868582","11","15","336","2045420100","Bronxdale                                                                  ","(40.869673, -73.868582)"
"PARKSIDE","2950 BRONX PARK EAST","10467","BRONX","13","47","2101745","7","3681.49","18.09","18.09","Replaced 6/17","28","28","No","40.868846","-73.870507","11","15","336","2045420100","Bronxdale                                                                  ","(40.868846, -73.870507)"
"PARKSIDE","650 ADEE AVENUE","10467","BRONX","8","47","2101742","7","10359.04","33.81","33.81","Replaced 6/17","56","56","No","40.86967","-73.869063","11","15","336","2045420100","Bronxdale                                                                  ","(40.86967, -73.869063)"
"PARKSIDE","635 ARNOW AVENUE","10467","BRONX","4","47","2101747","14","9691.37","36.31","36.31","Replaced 6/17","108","108","No","40.867945","-73.869688","11","15","336","2045420100","Bronxdale                                                                  ","(40.867945, -73.869688)"
"PARKSIDE","2945 WHITE PLAINS ROAD","10467","BRONX","12","47","2054714","7","3681.48","18.09","18.09","Replaced 6/17","28","28","No","40.868812","-73.867257","11","15","336","2045420100","Bronxdale                                                                  ","(40.868812, -73.867257)"
"POLO GROUNDS TOWERS","3005 FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","8","149","1810098","2","19804.34","67.25","47.07","3","0","0","Non-residential",,,"10","9","24302","1021060003","Central Harlem North-Polo Grounds",
"POLO GROUNDS TOWERS","2999 GARAGE FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","7","149","1087108","1","822.65","0","0","5","0","0","Non-residential","40.831402","-73.935649","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.831402, -73.935649)"
"POLO GROUNDS TOWERS","2981A FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","6","149","1087107","1","5188.53","8.61","8.61","3","0","0","Non-residential","40.830692","-73.936163","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.830692, -73.936163)"
"POLO GROUNDS TOWERS","2927 FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","5","149","1082089","1","11907.23","40.05","28.03","5","0","0","Non-residential","40.829257","-73.937209","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.829257, -73.937209)"
"POLO GROUNDS TOWERS","2931 FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","1","149","1084518","30","13831.45","91.83","64.28","3.9","418","418","No","40.829386","-73.937118","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.829386, -73.937118)"
"POLO GROUNDS TOWERS","2991 FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","4","149","1084521","30","18688.72","88.33","61.83","4.9","360","360","No","40.830983","-73.935939","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.830983, -73.935939)"
"POLO GROUNDS TOWERS","2949 FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","3","149","1084519","30","13984.12","88.71","62.10","4.8","418","418","No","40.829866","-73.936778","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.829866, -73.936778)"
"POLO GROUNDS TOWERS","2971 FREDERICK DOUGLASS BOULEVARD","10039","MANHATTAN","2","149","1084520","30","27844.07","79.72","55.81","3.9","418","418","No","40.830363","-73.936402","10","9","24302","1021060003","Central Harlem North-Polo Grounds","(40.830363, -73.936402)"
"RICHMOND TERRACE","131 JERSEY STREET","10301","STATEN ISLAND","5","117","5113003","8","9270.15","41.05","28.73","Replaced 7/16","80","81","No","40.644239","-74.086857","1","49","7","5000510001","West New Brighton-New Brighton-St. George                                  ","(40.644239, -74.086857)"
"RICHMOND TERRACE","456 RICHMOND TERRACE","10301","STATEN ISLAND","1","117","5113004","8","9035.30","38.3","38.3","Replaced 7/16","84","84","No","40.647442","-74.087625","1","49","7","5000510030","West New Brighton-New Brighton-St. George                                  ","(40.647442, -74.087625)"
"RICHMOND TERRACE","151 JERSEY STREET","10301","STATEN ISLAND","6","117","5108496","8","9299.44","43.42","30.39","Replaced 7/16","93","93","No","40.644047","-74.086727","1","49","7","5000510001","West New Brighton-New Brighton-St. George                                  ","(40.644047, -74.086727)"
"RICHMOND TERRACE","476 RICHMOND TERRACE","10301","STATEN ISLAND","2","117","5108497","8","8854.71","37.8","37.8","Replaced 7/16","80","80","No","40.647074","-74.088234","1","49","7","5000510030","West New Brighton-New Brighton-St. George                                  ","(40.647074, -74.088234)"
"RICHMOND TERRACE","131GAR JERSEY STREET","10301","STATEN ISLAND","7","117","5146062",,"1368.74","0","0","N/A (garage)",,"0","Non-residential","40.644239","-74.086857","1","49","7","5000510001","West New Brighton-New Brighton-St. George                                  ","(40.644239, -74.086857)"
"RICHMOND TERRACE","61 JERSEY STREET","10301","STATEN ISLAND","3","117","5108498","8","9033.18","37.18","37.18","Replaced 7/16","74","74","No","40.646316","-74.088575","1","49","7","5000510030","West New Brighton-New Brighton-St. George                                  ","(40.646316, -74.088575)"
"RICHMOND TERRACE","81 JERSEY STREET","10301","STATEN ISLAND","4","117","5108499","8","14313.24","35.52","35.52","Replaced 7/16","77","77","No","40.645584","-74.087911","1","49","7","5000510030","West New Brighton-New Brighton-St. George                                  ","(40.645584, -74.087911)"
"ROBBINS PLAZA","341 EAST 70TH STREET","10021","MANHATTAN","1","218","1044841","20","8774.21","29.32","29.32","5","150","150","Yes","40.76673","-73.957495","8","5","126","1014450023","Lenox Hill-Roosevelt Island                                                ","(40.76673, -73.957495)"
"SARATOGA VILLAGE","33 SARATOGA AVENUE","11233","BROOKLYN","1","158","3039983","16","10604.34","38.3","38.3","2.4","125","125","No","40.685898","-73.917769","16","41","373","3014920001","Ocean Hill                                                                 ","(40.685898, -73.917769)"
"SHELTON HOUSE","89-09 162ND STREET","11432","QUEENS","1","279","4208882","12","10014.34","39.55","39.55","2","153","155","Yes","40.706571","-73.799061","12","24","44601","4097610036","Jamaica                                                                    ","(40.706571, -73.799061)"
"STRAUS","243 EAST 27TH STREET","10016","MANHATTAN","2","153","1019879","19","4640.15","22.46","22.46","3.1","111","111","No","40.740647","-73.979651","6","2","66","1009080027","Murray Hill-Kips Bay                                                       ","(40.740647, -73.979651)"
"STRAUS","224 EAST 28TH STREET","10016","MANHATTAN","1","153","1019877","20","7453.47","35.68","35.68","3.1","156","156","No","40.741567","-73.979921","6","2","66","1009080017","Murray Hill-Kips Bay                                                       ","(40.741567, -73.979921)"
"STUYVESANT GARDENS II","150 MALCOLM X BOULEVARD","11221","BROOKLYN","1","333","3044658","7","16081.25","109.54","76.68","3","150","150","Yes","40.688335","-73.930144","3","36","293","3016360024","Stuyvesant Heights                                                         ","(40.688335, -73.930144)"
"TAFT","1712 MADISON AVENUE","10029","MANHATTAN","10","97","1080504","1","22153.8","104.93","73.45","5","0","0","Non-residential","40.79812","-73.946224","11","9","184","1016180001","East Harlem North                                                          ","(40.79812, -73.946224)"
"TAFT","70 EAST 115TH STREET","10029","MANHATTAN","7","97","1080643","19","8173.80","61.26","42.88","Replaced 11/15","186","186","No","40.798844","-73.944313","11","8","184","1016200023","East Harlem North                                                          ","(40.798844, -73.944313)"
"TAFT","1365 5TH AVENUE","10029","MANHATTAN","3","97","1080501","19","14290.54","40.92","28.65","Replaced 12/15","201","201","No","40.798815","-73.947799","11","9","184","1016180001","East Harlem North                                                          ","(40.798815, -73.947799)"
"TAFT","65 EAST 112TH STREET","10029","MANHATTAN","8","97","1080641","19","8018.98","57.02","39.91","Replaced 11/15","186","186","No","40.796994","-73.945611","11","8","184","1016200023","East Harlem North                                                          ","(40.796994, -73.945611)"
"TAFT","1345 5TH AVENUE","10029","MANHATTAN","2","97","1080500","19","8490.13","66.75","46.72","Replaced 11/15","150","150","No","40.798305","-73.948171","11","9","184","1016180001","East Harlem North                                                          ","(40.798305, -73.948171)"
"TAFT","1695 MADISON AVENUE","10029","MANHATTAN","9","97","1080640","19","8254.10","65.75","46.03","Replaced 11/15","150","150","No","40.797494","-73.946655","11","8","184","1016200023","East Harlem North                                                          ","(40.797494, -73.946655)"
"TAFT","1385 5TH AVENUE","10029","MANHATTAN","4","97","1080508","19","7647.82","59.51","41.66","Replaced 11/15","144","150","No","40.799355","-73.947404","11","9","184","1016180001","East Harlem North                                                          ","(40.799355, -73.947404)"
"TAFT","1694 MADISON AVENUE","10029","MANHATTAN","1","97","1080502","19","7650.32","61.13","42.79","Replaced 11/15","150","150","No","40.797502","-73.946676","11","9","184","1016180001","East Harlem North                                                          ","(40.797502, -73.946676)"
"TAFT","1734 MADISON AVENUE","10029","MANHATTAN","5","97","1080509","19","8364.15","67.75","47.42","Replaced 11/15","147","147","No","40.798669","-73.945823","11","9","184","1016180001","East Harlem North                                                          ","(40.798669, -73.945823)"
"TAFT","1735 MADISON AVENUE","10029","MANHATTAN","6","97","1080642","19","8309.60","66.25","46.38","Replaced 11/15","150","150","No","40.798937","-73.945602","11","8","184","1016200023","East Harlem North                                                          ","(40.798937, -73.945602)"
"TAYLOR STREET-WYTHE AVENUE","626 WYTHE PLACE","11249","BROOKLYN","1","234","3059901","11","13075.55","89.71","62.79","Replaced  1/16","138","138","No","40.704468","-73.964589","1","33","545","3021750070","Williamsburg                                                               ","(40.704468, -73.964589)"
"TAYLOR STREET-WYTHE AVENUE","51 ROSS STREET","11249","BROOKLYN","2","234","3059903","13","7503.51","55.77","39.04","Replaced  11/15","108","108","No","40.703172","-73.964363","1","33","545","3021750080","Williamsburg                                                               ","(40.703172, -73.964363)"
"TAYLOR STREET-WYTHE AVENUE","70 CLYMER STREET","11249","BROOKLYN","5","234","3251702","12","12244.81","49.66","34.76","Replaced  12/15","103","103","No","40.704855","-73.96627","1","33","545","3021750030","Williamsburg                                                               ","(40.704855, -73.96627)"
"TAYLOR STREET-WYTHE AVENUE","571 WYTHE AVENUE","11249","BROOKLYN","4","234","3059900","8","10296.16","73.86","51.70","Replaced  12/15","88","88","No","40.703779","-73.965145","1","33","545","3021750060","Williamsburg                                                               ","(40.703779, -73.965145)"
"TAYLOR STREET-WYTHE AVENUE","611 WYTHE AVENUE","11249","BROOKLYN","3","234","3059904","8","10833.22","71.24","49.87","Replaced  11/15","88","88","No","40.703532","-73.964868","1","33","545","3021750090","Williamsburg                                                               ","(40.703532, -73.964868)"
"THOMAS APARTMENTS","102 WEST 91ST STREET","10024","MANHATTAN","1","268","1077231","11","5307.90","14.6","14.6","4.8","87","87","Yes","40.789779","-73.970124","7","6","177","1012210038","Upper West Side                                                            ","(40.789779, -73.970124)"
"TODT HILL","247 WESTWOOD AVENUE","10314","STATEN ISLAND","4","42","5108965","6","10006.26","45.41","31.79","2","72","72","No","40.606583","-74.118576","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.606583, -74.118576)"
"TODT HILL","176 SCHMIDTS LANE","10314","STATEN ISLAND","7","42","5108960","6","11893.01","48.28","33.8","2","72","72","No","40.609125","-74.11844","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.609125, -74.11844)"
"TODT HILL","275 WESTWOOD AVENUE","10314","STATEN ISLAND","3","42","5108964","6","10165.38","47.78","33.45","2","72","72","No","40.60643","-74.120175","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.60643, -74.120175)"
"TODT HILL","791 MANOR ROAD","10314","STATEN ISLAND","2","42","5108963","6","10237.77","42.67","29.87","2","72","72","No","40.607437","-74.12102","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.607437, -74.12102)"
"TODT HILL","34 LA GUARDIA AVENUE","10314","STATEN ISLAND","6","42","5108961","6","10238.27","45.04","31.53","2","72","72","No","40.607769","-74.118254","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.607769, -74.118254)"
"TODT HILL","761 MANOR ROAD","10314","STATEN ISLAND","1","42","5110030","6","10122.2","44.17","30.92","2","72","72","No","40.608205","-74.121097","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.608205, -74.121097)"
"TODT HILL","231 WESTWOOD AVENUE","10314","STATEN ISLAND","5","42","5108962","6","9993.09","50.78","35.55","2","70","70","No","40.606619","-74.118187","2","49","173","5007060001","New Springville-Bloomfield-Travis                                          ","(40.606619, -74.118187)"
"UNITY PLAZA (SITES 4-27)","390 GEORGIA AVENUE","11207","BROOKLYN","4","261","3336124","6","23538.94","152.71","106.9","5","107","108","No","40.66704","-73.896586","5","42","1156","3037850015","East New York (Pennsylvania Ave)                                           ","(40.66704, -73.896586)"
"UNITY PLAZA (SITES 4-27)","400 WILLIAMS AVENUE","11207","BROOKLYN","2","261","3328049","6","16639.37","104.93","73.45","1","104","104","No","40.666043","-73.898242","5","42","1134","3037840001","East New York (Pennsylvania Ave)                                           ","(40.666043, -73.898242)"
"UNITY PLAZA (SITES 4-27)","360 WILLIAMS AVENUE","11207","BROOKLYN","1","261","3328048","6","12775.83","80.72","56.51","1.9","82","82","No","40.66713","-73.898525","5","42","1134","3037840001","East New York (Pennsylvania Ave)                                           ","(40.66713, -73.898525)"
"UNITY PLAZA (SITES 4-27)","375 WILLIAMS AVENUE","11207","BROOKLYN","3","261","3336125","6","22134.13","122.89","86.03","4.9","86","86","No","40.666715","-73.898396","5","42","1134","3037850015","East New York (Pennsylvania Ave)                                           ","(40.666715, -73.898396)"
"UNITY PLAZA (SITES 4-27)","391 GEORGIA AVENUE","11207","BROOKLYN","5","261","3084439","6","12987.78","89.46","62.62","3.1","82","82","No","40.667043","-73.896564","5","42","1156","3037870005","East New York (Pennsylvania Ave)                                           ","(40.667043, -73.896564)"
"UPACA (SITE 5)","1980 LEXINGTON AVENUE","10035","MANHATTAN","1","343","1054377","11","14005.37","93.20","65.24","4.9","180","200","Yes","40.801789","-73.939319","11","9","196","1017690005","East Harlem North                                                          ","(40.801789, -73.939319)"
"UPACA (SITE 6)","1940 LEXINGTON AVENUE","10035","MANHATTAN","1","355","1054368","12","10248.22","87.21","61.05","3.9","150","150","Yes","40.80073","-73.940093","11","9","196","1017680012","East Harlem North                                                          ","(40.80073, -73.940093)"
"WAGNER","30 PALADINO AVENUE","10035","MANHATTAN","11","74","1081294","7","5745.33","29.94","29.94","5","52","52","No","40.800214","-73.930869","11","8","192","1018080001","East Harlem North                                                          ","(40.800214, -73.930869)"
"WAGNER","90 PALADINO AVENUE","10035","MANHATTAN","1","74","1081285","7","5769.68","31.69","31.69","3.8","54","54","No","40.797941","-73.929596","11","8","192","1018080001","East Harlem North                                                          ","(40.797941, -73.929596)"
"WAGNER","10 PALADINO AVENUE","10035","MANHATTAN","13","74","1081296","16","6564.64","43.79","30.65","2.9","120","121","No","40.800525","-73.931565","11","8","192","1018080001","East Harlem North                                                          ","(40.800525, -73.931565)"
"WAGNER","2395 1ST AVENUE","10035","MANHATTAN","18","74","1081279","7","5858.67","31.82","31.82","4.1","55","55","No","40.80013","-73.932407","11","8","194","1017970001","East Harlem North                                                          ","(40.80013, -73.932407)"
"WAGNER","2360 1ST AVENUE","10035","MANHATTAN","9","74","1081292","16","9369.10","22.83","22.83","3.2","120","120","No","40.799137","-73.933109","11","8","192","1018080001","East Harlem North                                                          ","(40.799137, -73.933109)"
"WAGNER","2369 1ST AVENUE","10035","MANHATTAN","14","74","1081277","16","6540.25","41.80","29.26","3.8","121","125","No","40.799546","-73.932834","11","8","194","1017970001","East Harlem North                                                          ","(40.799546, -73.932834)"
"WAGNER","70 PALADINO AVENUE","10035","MANHATTAN","5","74","1081288","7","5740.11","31.32","31.32","3.8","54","54","No","40.798421","-73.929726","11","8","192","1018080001","East Harlem North                                                          ","(40.798421, -73.929726)"
"WAGNER","2400 2ND AVENUE","10035","MANHATTAN","22","74","1081283","16","6582.67","40.05","28.03","2.9","124","125","No","40.801435","-73.934432","11","8","194","1017970001","East Harlem North                                                          ","(40.801435, -73.934432)"
"WAGNER","2385 1ST AVENUE","10035","MANHATTAN","17","74","1081278","7","5771.43","30.94","30.94","3.8","55","55","No","40.799946","-73.932541","11","8","194","1017970001","East Harlem North                                                          ","(40.799946, -73.932541)"
"WAGNER","40 PALADINO AVENUE","10035","MANHATTAN","10","74","1081293","7","5738.55","30.94","30.94","3.2","54","54","No","40.799714","-73.930215","11","8","192","1018080001","East Harlem North                                                          ","(40.799714, -73.930215)"
"WAGNER","350 EAST 124TH STREET","10035","MANHATTAN","21","74","1081282","16","6540.24","41.92","29.34","3.8","125","125","No","40.801536","-73.933081","11","8","194","1017970001","East Harlem North                                                          ","(40.801536, -73.933081)"
"WAGNER","445 EAST 120TH STREET","10035","MANHATTAN","4","74","1081287","16","6540.23","44.29","31.00","4.1","121","122","No","40.797898","-73.93185","11","8","192","1018080001","East Harlem North                                                          ","(40.797898, -73.93185)"
"WAGNER","60 PALADINO AVENUE","10035","MANHATTAN","6","74","1081289","7","5817.73","31.57","31.57","4.7","52","52","No","40.798723","-73.929837","11","8","192","1018080001","East Harlem North                                                          ","(40.798723, -73.929837)"
"WAGNER","2370 2ND AVENUE","10035","MANHATTAN","16","74","1081276","16","6620.23","40.55","28.38","2.9","125","125","No","40.800359","-73.935217","11","8","194","1017970001","East Harlem North                                                          ","(40.800359, -73.935217)"
"WAGNER","2405 1ST AVENUE","10035","MANHATTAN","20","74","1081281","16","6540.23","64.50","45.15","3.8","124","125","No","40.800404","-73.932205","11","8","194","1017970001","East Harlem North                                                          ","(40.800404, -73.932205)"
"WAGNER","505 EAST 120TH STREET","10035","MANHATTAN","3","74","1081286","16","6514.53","40.80","28.56","4.1","124","124","No","40.797582","-73.931095","11","8","192","1018080001","East Harlem North                                                          ","(40.797582, -73.931095)"
"WAGNER","50 PALADINO AVENUE","10035","MANHATTAN","7","74","1081290","16","11908.60","42.30","29.61","4.3","121","121","No","40.799168","-73.93001","11","8","192","1018080001","East Harlem North                                                          ","(40.799168, -73.93001)"
"WAGNER","20 PALADINO AVENUE","10035","MANHATTAN","12","74","1081295","16","6628.85","39.30","39.30","3.8","125","125","No","40.800365","-73.931212","11","8","192","1018080001","East Harlem North                                                          ","(40.800365, -73.931212)"
"WAGNER","2370 1ST AVENUE","10035","MANHATTAN","8","74","1081291","16","6565.33","43.17","30.22","3.8","124","124","No","40.799537","-73.932816","11","8","192","1018080001","East Harlem North                                                          ","(40.799537, -73.932816)"
"WAGNER","2390 2ND AVENUE","10035","MANHATTAN","19","74","1081280","16","6609.86","65.38","45.76","3.8","125","125","No","40.800903","-73.934823","11","8","194","1017970001","East Harlem North                                                          ","(40.800903, -73.934823)"
"WAGNER","2375 1ST AVENUE","10035","MANHATTAN","15","74","1081275","16","6540.23","42.30","29.61","3.8","125","125","No","40.799749","-73.932686","11","8","194","1017970001","East Harlem North                                                          ","(40.799749, -73.932686)"
"WAGNER","80 PALADINO AVENUE","10035","MANHATTAN","2","74","1081284","7","5773.76","32.31","32.31","4.7","54","54","No","40.798204","-73.929657","11","8","192","1018080001","East Harlem North                                                          ","(40.798204, -73.929657)"
"WAGNER","ADDRESS IS NOT AVAILABLE","10035","MANHATTAN","23","74","1000000",,"660.14","2.12","2.12","N/A - garage","0","0","Yes","40.801536","-73.933081","11","8","194","1017970001","East Harlem North","(40.801536, -73.933081)"
"WILSON","425 EAST 105TH STREET","10029","MANHATTAN","2","112","1079368","20","5905.75","28.45","28.45","5","94","94","No","40.788573","-73.939638","11","8","162","1016990001","East Harlem South                                                          ","(40.788573, -73.939638)"
"WILSON","435 EAST 105TH STREET","10029","MANHATTAN","3","112","1079369","20","8538.8","60.89","42.62","5","152","152","No","40.7884","-73.939226","11","8","162","1016990001","East Harlem South                                                          ","(40.7884, -73.939226)"
"WILSON","405 EAST 105TH STREET","10029","MANHATTAN","1","112","1079367","20","8323.95","60.39","42.27","4.9","152","152","No","40.788875","-73.94036","11","8","162","1016990001","East Harlem South                                                          ","(40.788875, -73.94036)"
"WSUR (SITE A) 120 WEST 94TH STREET","120 WEST 94TH STREET","10025","MANHATTAN","3","151","1032540","9","6546.23","35.31","35.31","4.9","70","70","No","40.791944","-73.9694","7","6","177","1012240042","Upper West Side                                                            ","(40.791944, -73.9694)"
"WSUR (SITE B) 74 WEST 92ND STREET","74 WEST 92ND STREET","10025","MANHATTAN","5","173","1031623","22","13586.46","27.95","27.95","4","168","168","No","40.790056","-73.968834","7","6","177","1012050001","Upper West Side                                                            ","(40.790056, -73.968834)"
"WYCKOFF GARDENS","185 NEVINS STREET","11217","BROOKLYN","2","163","3336055","21","8941.18","22.71","22.71","2","173","174","No","40.682868","-73.984814","6","33","127","3003940001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.682868, -73.984814)"
"WYCKOFF GARDENS","272 WYCKOFF STREET","11217","BROOKLYN","3","163","3336056","21","12197.63","26.20","26.20","2.6","180","180","No","40.68342","-73.984081","6","33","127","3003940001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.68342, -73.984081)"
"WYCKOFF GARDENS","130 3RD AVENUE","11217","BROOKLYN","1","163","3336054","21","8938.54","36.43","36.43","4.8","175","175","No","40.682116","-73.982892","6","33","127","3003940001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.682116, -73.982892)"
