"nta","nta_name","borough","boro_code","company","conduit_route_mileage","street_mileage","conduit_mileage_total","conduit_mileage_available","conduit_mileage_available_1","cd_overlap_1","cd_overlap_2","cd_overlap_3","cd_overlap_4","cd_overlap_5","cd_overlap_6"
"BX01","Claremont-Bathgate","Bronx","2","ECS","12","27.44","269.6","262.6","0.974","203","206",,,,
"BX03","Eastchester-Edenwald-Baychester","Bronx","2","ECS","5.3","46.17","65.3","63.1","0.966","212",,,,,
"BX0S","Bedford Park-Fordham North","Bronx","2","ECS","9.1","23.04","123.4","115.9","0.94","207",,,,,
"BX06","Belmont","Bronx","2","ECS","3.1","21.45","33.7","32.3","0.957","203","206",,,,
"BX07","Bronxdale","Bronx","2","ECS","4.9","18.55","80.3","77.9","0.97","211",,,,,
"BX08","West Farms-Bronx River","Bronx","2","ECS","4.1","25.38","37.2","35.3","0.949","209",,,,,
"BX09","Soundview-Castle Hill-Clason Point-Harding Park","Bronx","2","ECS","6.2","75.2","57.8","56","0.969","209",,,,,
"BX10","Pelham Bay-Country Club-City Island","Bronx","2","ECS","4","41.4","25.9","25.6","0.99","210",,,,,
"BX13","Co-op City","Bronx","2","ECS","7.5","48.21","74.9","69.8","0.932","210",,,,,
"BX14","East Concourse-Concourse Village","Bronx","2","ECS","7.2","26.62","128.7","120.3","0.935","204",,,,,
"BX17","East Tremont","Bronx","2","ECS","9","28.52","81.7","79.2","0.969","203","206",,,,
"BX22","North Riverdale-Fieldston-Riverdale","Bronx","2","ECS","5.5","38.98","49.8","47.9","0.962","208",,,,,
"BX26","Highbridge","Bronx","2","ECS","4.4","29.9","44.9","42.3","0.942","204",,,,,
"BX27","Hunts Point","Bronx","2","ECS","8.1","56.45","79.9","76.1","0.953","201","202",,,,
"BX28","Van Cortlandt Village","Bronx","2","ECS","7.6","29.67","67.7","65.8","0.971","208",,,,,
"BX29","Spuyten Duyvil-Kingsbridge","Bronx","2","ECS","10","32.35","111.8","106.3","0.951","208",,,,,
"BX30","Kingsbridge Heights","Bronx","2","ECS","4.2","17.36","35.5","33.1","0.93","207",,,,,
"BX31","Allerton-Pelham Gardens","Bronx","2","ECS","3.1","37.2","34","31.2","0.919","211",,,,,
"BX33","Longwood","Bronx","2","ECS","4.9","14.79","67.1","62.9","0.937","201","202",,,,
"BX34","Melrose South-Mott Haven North","Bronx","2","ECS","11.2","24","269.2","260.2","0.967","201","202",,,,
"BX35","Morrisania-Melrose","Bronx","2","ECS","9.8","24.21","108.1","104.4","0.965","203","206",,,,
"BX36","University Heights-Morris Heights","Bronx","2","ECS","7","36.76","57.4","55.6","0.968","205",,,,,
"BX37","Van Nest-Morris Park-Westchester Square","Bronx","2","ECS","12.7","43.67","139.8","133.4","0.954","211",,,,,
"BX39","Mott Haven-Port Morris","Bronx","2","ECS","14","60.36","266.1","251.5","0.945","201","202",,,,
"BX40","Fordham South","Bronx","2","ECS","4.7","10.53","81.2","77.9","0.959","205",,,,,
"BX41","Mount Hope","Bronx","2","ECS","8.1","28.16","146.6","139.7","0.952","205",,,,,
"BX43","Norwood","Bronx","2","ECS","6.5","21.12","91.9","83.1","0.904","207",,,,,
"BX44","Williamsbridge-Olinville","Bronx","2","ECS","13.2","41.41","233.5","223.3","0.957","212",,,,,
"BX46","Parkchester","Bronx","2","ECS","4","12.87","37.5","35.9","0.957","209",,,,,
"BX49","Pelham Parkway","Bronx","2","ECS","4.4","33.33","47.5","43.6","0.918","211",,,,,
"BX52","Schuylerville-Throgs Neck-Edgewater Park","Bronx","2","ECS","11.1","94.88","110.9","107.3","0.967","210",,,,,
"BX55","Soundview-Bruckner","Bronx","2","ECS","7.4","21.65","115.9","108.2","0.933","209",,,,,
"BX59","Westchester-Unionport","Bronx","2","ECS","7.3","35.75","129.1","121.9","0.944","209",,,,,
"BX62","Woodlawn-Wakefield","Bronx","2","ECS","8.3","44.76","103.5","98.4","0.951","212",,,,,
"BX63","West Concourse","Bronx","2","ECS","6.6","34.05","144.5","133.2","0.921","204",,,,,
"BX75","Crotona Park East","Bronx","2","ECS","4.2","25.38","36.1","33.8","0.937","203",,,,,
"BX99","park-cemetery-etc-Bronx","Bronx","2","ECS","4.1","143.06","62.7","59.7","0.952","203","204","206","209","210","212"
"MN01","Marble Hill-Inwood","Manhattan","1","ECS","8.7","20.11","82.5","73","0.886","112",,,,,
"MN03","Central Harlem North-Polo Grounds","Manhattan","1","ECS","15.7","43.03","166.7","148.7","0.892","110",,,,,
"MN04","Hamilton Heights","Manhattan","1","ECS","9.6","25.73","151.7","140.4","0.926","109",,,,,
"MN06","Manhattanville","Manhattan","1","ECS","4.8","17.01","63","58.1","0.921","109",,,,,
"MN09","Morningside Heights","Manhattan","1","ECS","12.4","34.7","176.9","160.1","0.905","109",,,,,
"MN11","Central Harlem South","Manhattan","1","ECS","11.6","25.15","140.1","127","0.907","110",,,,,
"MN12","Upper West Side","Manhattan","1","ECS","25.2","56.46","393.2","359.8","0.915","107",,,,,
"MN13","Hudson Yards-Chelsea-Flat Iron-Union Square","Manhattan","1","ECS","43.3","58.42","765.4","620.6","0.811","104","105",,,,
"MN14","Lincoln Square","Manhattan","1","ECS","15.8","30.82","229.7","198.7","0.865","107",,,,,
"MN15","Clinton","Manhattan","1","ECS","24.2","31.04","446.7","396.9","0.889","104","105",,,,
"MN17","Midtown-Midtown South","Manhattan","1","ECS","66.6","46.48","1074.8","900.6","0.838","104","105",,,,
"MN19","Turtle Bay-East Midtown","Manhattan","1","ECS","31.5","31.28","554.8","487.1","0.878","106",,,,,
"MN20","Murray Hill-Kips Bay","Manhattan","1","ECS","26.8","25.05","623.4","552.9","0.887","106",,,,,
"MN21","Gramercy","Manhattan","1","ECS","12.7","13.69","282.9","251.6","0.889","106",,,,,
"MN22","East Village","Manhattan","1","ECS","12.2","16.92","318.6","305","0.957","103",,,,,
"MN23","West Village","Manhattan","1","ECS","33","42.84","438.2","358.9","0.819","101","102",,,,
"MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","1","ECS","55.9","43.18","1181.5","1036.8","0.878","101","102",,,,
"MN25","Battery Park City-Lower Manhattan","Manhattan","1","ECS","49.8","41.33","989.6","857.7","0.867","101","102",,,,
"MN27","Chinatown","Manhattan","1","ECS","17.8","34.57","341.8","315.4","0.923","103",,,,,
"MN28","Lower East Side","Manhattan","1","ECS","17","44.8","134.7","122","0.906","103",,,,,
"MN31","Lenox Hill-Roosevelt Island","Manhattan","1","ECS","15.3","36.41","234.8","206.1","0.878","108",,,,,
"MN32","Yorkville","Manhattan","1","ECS","10.4","19.14","160","145.8","0.911","108",,,,,
"MN33","East Harlem South","Manhattan","1","ECS","15.3","30.08","263.4","237.5","0.902","111",,,,,
"MN34","East Harlem North","Manhattan","1","ECS","16.6","48.68","325.3","302","0.928","111",,,,,
"MN35","Washington Heights North","Manhattan","1","ECS","10.7","28.1","123.3","111.4","0.903","112",,,,,
"MN36","Washington Heights South","Manhattan","1","ECS","15.2","46.06","206.3","193.3","0.937","112",,,,,
"MN40","Upper East Side-Carnegie Hill","Manhattan","1","ECS","26.8","40.42","344.5","306.5","0.89","108",,,,,
"MN50","Stuyvesant Town-Cooper Village","Manhattan","1","ECS","3.4","9.95","42","35.8","0.852","106",,,,,
"MN99","park-cemetery-etc-Manhattan","Manhattan","1","ECS","3.9","139.49","75.9","22.1","0.292","101","102","107","111","112",
