"age_group","male","female","total"
"0-9","0","0","0"
"20-29","5","3","8"
"30-39","6","12","18"
"40-49","19","7","26"
"50-59","14","18","32"
"60-69","19","3","22"
"70-79","8","5","13"
"80+","4","6","10"
"Total","76","55","131"
"10-19","1","1","2"
