"date","month","requests_received","cumulative_requests"
"2016-02-29T00:00:00.000","2016-02-29T00:00:00.000","12","12"
"2016-03-31T00:00:00.000","2016-03-31T00:00:00.000","15","27"
"2016-04-30T00:00:00.000","2016-04-30T00:00:00.000","18","45"
"2016-05-31T00:00:00.000","2016-05-31T00:00:00.000","28","73"
"2016-06-30T00:00:00.000","2016-06-30T00:00:00.000","5","78"
"2016-07-31T00:00:00.000","2016-07-31T00:00:00.000","2","80"
"2016-08-31T00:00:00.000","2016-08-31T00:00:00.000","30","110"
"2016-09-30T00:00:00.000","2016-09-30T00:00:00.000","12","122"
"2016-10-31T00:00:00.000","2016-10-31T00:00:00.000","4","126"
"2016-11-30T00:00:00.000","2016-11-30T00:00:00.000","8","134"
"2016-12-31T00:00:00.000","2016-12-31T00:00:00.000","20","154"
"2017-01-31T00:00:00.000","January 2017","3","157"
"2017-02-28T00:00:00.000","February 2017","7","164"
"2017-03-31T00:00:00.000","March 2017","7","171"
"2017-04-30T00:00:00.000","April 2017","13","184"
"2017-05-31T00:00:00.000","May 2017","22","206"
"2017-06-30T00:00:00.000","June 2017","26","232"
"2017-07-31T00:00:00.000","July 2017","12","244"
"2017-08-31T00:00:00.000","August 2017","13","257"
"2017-09-30T00:00:00.000","September 2017","11","268"
"2017-10-31T00:00:00.000","October 2017","4","272"
"2017-11-30T00:00:00.000","November 2017","9","281"
"2017-12-31T00:00:00.000","December 2017","12","293"
"2018-01-31T00:00:00.000","January 2018","18","311"
"2018-02-28T00:00:00.000","February 2018","11","322"
"2018-03-31T00:00:00.000","March 2018","9","331"
"2018-04-30T00:00:00.000","April 2018","9","340"
"2018-05-31T00:00:00.000","May 2018","44","384"
"2018-06-30T00:00:00.000","June 2018","34","418"
"2018-08-01T00:00:00.000","July 2018","6","424"
"2018-09-04T00:00:00.000","August 2018","14","438"
"2018-10-01T00:00:00.000","September 2018","3","441"
"2018-11-05T00:00:00.000","October 2018","5","446"
"2018-12-11T00:00:00.000","November 2018","2","448"
"2019-01-02T00:00:00.000","December 2018","2","450"
"2019-02-01T00:00:00.000","January 2019","3","453"
"2019-03-01T00:00:00.000","February 2019","4","457"
